"Comp1","Comp2","Comp3","Comp4"
-14.5880306360547,-9.60127137274713,-8.98424165903779,-9.67361910306146
-14.5850769643416,-9.59293388418404,-8.97713493954691,-9.66364319392167
-14.5849172381564,-9.5842678687148,-8.96790508186415,-9.65316268455613
-14.578733654328,-9.57561694450652,-8.95714493354607,-9.64247452805692
-14.5596124808232,-9.56727597704725,-8.94569098404499,-9.63192445204965
-14.5247549700592,-9.55947304888368,-8.93444572384287,-9.62191075016057
-14.4760185804466,-9.55236116408165,-8.9241973903729,-9.61285280531631
-14.4186108049127,-9.54601648645518,-8.91548847074066,-9.60512566529897
-14.358980951001,-9.54044469141801,-8.90856118693814,-9.59898658875977
-14.3030037245354,-9.53559862713062,-8.90337776917026,-9.59452410611367
-14.2548855375332,-9.53140350676664,-8.89969763990657,-9.59164204470807
-14.2168003383279,-9.52777855322166,-8.8971821734834,-9.5900756897826
-14.1890791926981,-9.52464787880647,-8.89548992441681,-9.58944007464944
-14.1706858522867,-9.52194317847354,-8.89433572405141,-9.58930944653644
-14.1597697452843,-9.51960396769993,-8.8935096328644,-9.58930858800716
-14.1541927240214,-9.51757802527431,-8.89286869562221,-9.58918491318862
-14.1519491793421,-9.51582294057781,-8.8923186764537,-9.5888386202659
-14.1514113057054,-9.51430939090711,-8.89179755006765,-9.58830515685703
-14.1514052807376,-9.513025269596,-8.89126516219834,-9.58770089101775
-14.1511887344077,-9.51197771204559,-8.89069917127389,-9.58715455742735
-14.1503897409473,-9.51118839271427,-8.89009604973091,-9.58675136326522
-14.1489264851965,-9.51067738234547,-8.88947478242765,-9.58651032988761
-14.1469110150609,-9.5104349460528,-8.88887883900234,-9.58639763629914
-14.1445520079445,-9.51038822115269,-8.88837202927079,-9.58635975560441
-14.1420843576817,-9.51037579782038,-8.88802375985474,-9.58635272257905
-14.1397364085992,-9.51014532552037,-8.88787381339765,-9.58635268361385
-14.1377130270672,-9.5093857622169,-8.88786644564404,-9.58635041167355
-14.1361677569836,-9.50779330170418,-8.88776204121513,-9.58634169916648
-14.1351563488008,-9.50515231582925,-8.88706532062951,-9.58632093642653
-14.1345992266593,-9.50140227631827,-8.88503039807557,-9.58627898889766
-14.1343131408864,-9.49666666036754,-8.88079474062027,-9.58620641534755
-14.1340998767625,-9.49123492533034,-8.87364894368074,-9.58610304324851
-14.1337313240458,-9.48550316729516,-8.86337354418518,-9.5859885149668
-14.1327163548911,-9.47988976749928,-8.85049941737544,-9.58590054638378
-14.130024203569,-9.47475023320251,-8.83633296071498,-9.58586930361946
-14.1241206794079,-9.47031736665638,-8.82267230572202,-9.5858682387817
-14.1135016573607,-9.46668226423429,-8.81129298546612,-9.58575766751831
-14.0975228699896,-9.4638131107233,-8.80339529969979,-9.58525113079133
-14.0770261564533,-9.46159661665985,-8.79921435371294,-9.58393398793344
-14.0543038700037,-9.45988470570976,-8.79792868812856,-9.58134397590574
-14.0323767898504,-9.45853208213019,-8.7979064601127,-9.57709559576361
-14.0140056644568,-9.45741747780798,-8.79721657173214,-9.57100752485264
-14.0008914620829,-9.45645016639537,-8.79423558041799,-9.56318756964747
-13.9932946932339,-9.45556818107676,-8.78813736303581,-9.55404596424606
-13.990137514663,-9.45473412351399,-8.77909087260632,-9.54423076737791
-13.989528350227,-9.4539317615392,-8.76811073596871,-9.53450201301154
-13.9895103119456,-9.45316390456675,-8.75665223750772,-9.52558163231806
-13.9887312832236,-9.45244972495645,-8.7461369108826,-9.51802212946474
-13.9867447723721,-9.45181953359494,-8.73758626718868,-9.5121292441461
-13.9838588580952,-9.45130680567749,-8.73145404333554,-9.50795253072616
-13.9807111530753,-9.45093806805276,-8.72765334229869,-9.50532846580099
-13.9778442241258,-9.45072162844998,-8.72571573853776,-9.50394805075077
-13.9754802026471,-9.45063727745482,-8.72500047408981,-9.50342502120639
-13.9735270679566,-9.45062984248527,-8.72488240563368,-9.50334917974212
-13.9716973487406,-9.45061006902039,-8.72487385118113,-9.50332369166906
-13.9695889568058,-9.45046530510053,-8.72467027972394,-9.50299556537089
-13.966687229348,-9.45007754040505,-8.72413743949789,-9.50208458267261
-13.9623810642368,-9.4493421630973,-8.7232668275383,-9.50040704801859
-13.9560978733636,-9.44818277838634,-8.72212370281441,-9.49788830479127
-13.9475461150696,-9.44656277141426,-8.72080370013816,-9.49456258546274
-13.9369365781462,-9.44449670187777,-8.71940367660367,-9.4905624034295
-13.9250447648228,-9.44206106560362,-8.71800491909048,-9.48609870199575
-13.9130514385708,-9.43939819879377,-8.71666461903483,-9.48143357016178
-13.9021983570123,-9.4367058092179,-8.71541309968947,-9.47684983092256
